k, I, deltaI, result, shouldFit, time
0.08,0.3128709,0.02502967,True,False,30317
0.08,0.5261713,0.04209371,False,True,5192
0.08,0.4431258,0.03545006,True,True,4094
0.08,0.6340029,0.05072023,True,True,5227
0.08,0.7695715,0.06156572,True,True,1566
0.08,0.4664211,0.03731368,True,False,1643
0.08,0.307662,0.02461296,True,True,3367
0.08,0.5383347,0.04306678,True,True,2194
0.08,0.1542833,0.01234266,False,True,1566
0.04,0.4636888,0.01854755,False,True,2346
0.04,0.7744057,0.03097623,False,True,2506
0.04,0.5657941,0.02263176,True,False,1762
0.04,0.7829672,0.03131869,True,True,1370
0.04,0.1610258,0.00644103,True,False,4449
0.04,0.790782,0.03163128,True,True,1332
0.04,0.4239549,0.0169582,True,False,5924
0.04,0.4262189,0.01704875,True,False,2460
0.04,0.2503794,0.01001518,False,True,2537
0.02,0.6736481,0.01347296,True,True,1837
0.02,0.2137984,0.004275969,True,True,1679
0.02,0.7985995,0.01597199,False,True,2074
0.02,0.592418,0.01184836,True,True,2967
0.02,0.1482259,0.002964518,False,True,2734
0.02,0.4671393,0.009342786,True,True,1562
0.02,0.5588282,0.01117656,True,False,2304
0.02,0.7538795,0.01507759,True,False,2814
0.02,0.489922,0.00979844,False,True,2500
0.01,0.7682119,0.007682119,False,False,5711
0.01,0.712949,0.00712949,False,False,2597
0.01,0.4697468,0.004697468,False,False,3632
0.01,0.3692244,0.003692244,True,True,4144
0.01,0.134189,0.001341889,True,False,2331
0.01,0.3054267,0.003054267,True,True,2696
0.01,0.1920798,0.001920798,True,False,3633
0.01,0.7309038,0.007309038,False,True,2934
0.01,0.6144323,0.006144323,True,False,2034
0.005,0.4711546,0.002355773,False,False,2190
0.005,0.7573353,0.003786676,True,False,2114
0.005,0.2029816,0.001014908,True,False,1601
0.005,0.5713563,0.002856781,True,True,2581
0.005,0.2891456,0.001445728,True,False,2036
0.005,0.4502936,0.002251468,True,True,1445
0.005,0.4223983,0.002111991,True,True,1173
0.005,0.5450591,0.002725296,True,True,1329
0.005,0.6334381,0.00316719,True,True,1525
0.0025,0.5728755,0.001432189,False,False,1564
0.0025,0.1914821,0.0004787052,True,False,3088
0.0025,0.1126653,0.0002816633,False,True,1638
0.0025,0.4465339,0.001116335,False,False,1682
0.0025,0.1033667,0.0002584166,False,True,1991
0.0025,0.7137225,0.001784306,True,False,1723
0.0025,0.541593,0.001353982,False,True,3443
0.0025,0.126434,0.000316085,False,True,1602
0.0025,0.1443023,0.0003607558,True,False,2967
0.00375,0.3037797,0.001139174,True,False,2578
0.00375,0.1077368,0.0004040131,True,False,1836
0.00375,0.4932731,0.001849774,False,False,1331
0.00375,0.5254375,0.001970391,True,True,1328
0.00375,0.4182735,0.001568526,False,False,1995
0.00375,0.2359855,0.0008849456,False,True,5822
0.00375,0.407919,0.001529696,True,False,2993
0.00375,0.159222,0.0005970824,False,True,1718
0.00375,0.4886788,0.001832545,False,False,2479
0.004375,0.2523358,0.001103969,True,True,1839
0.004375,0.2190378,0.0009582902,False,False,999
0.004375,0.3118717,0.001364439,True,True,1039
0.004375,0.5627882,0.002462198,False,False,1359
0.004375,0.3243071,0.001418844,False,False,1758
0.004375,0.566955,0.002480428,False,False,1399
0.004375,0.3062631,0.001339901,True,True,1479
0.004375,0.3552015,0.001554006,True,True,1239
0.004375,0.590229,0.002582252,False,False,2159
